วันที่รับเรื่อง,เลขที่คำร้อง,อำเภอ,ประเภทการร้องเรียน,รายละเอียดสั้นๆ,สถานะ,วันที่แก้ไข,ระยะเวลา (วัน)
1/16/2024,COM-2024-019,ศรีมหาโพธิ,เวลาทำงาน,ไม่ได้รับค่าล่วงเวลาในวันหยุด,อยู่ระหว่างดำเนินการ,,
1/16/2024,COM-2024-020,ศรีมหาโพธิ,สวัสดิการ,ไม่ได้รับยูนิฟอร์มตามสิทธิ,เสร็จสิ้น,1/22/2024,6
1/17/2024,COM-2024-021,เมืองปราจีนบุรี,สวัสดิการ,ไม่ได้รับยูนิฟอร์มตามสิทธิ,อยู่ระหว่างดำเนินการ,,
1/18/2024,COM-2024-022,บ้านสร้าง,ค่าจ้าง,หักค่าจ้างโดยไม่มีเหตุผล,เสร็จสิ้น,2/17/2024,30
1/19/2024,COM-2024-023,ศรีมหาโพธิ,เวลาทำงาน,บังคับทำงานเกิน 8 ชั่วโมงต่อวัน,อยู่ระหว่างดำเนินการ,,
1/20/2024,COM-2024-024,บ้านสร้าง,การเลิกจ้าง,ให้เซ็นลาออกโดยสมัครใจ,เสร็จสิ้น,2/17/2024,28
1/21/2024,COM-2024-025,นาดี,ค่าจ้าง,จ่ายค่าจ้างต่ำกว่าอัตราขั้นต่ำ,รอเอกสาร,,
1/22/2024,COM-2024-026,บ้านสร้าง,ค่าจ้าง,จ่ายค่าจ้างต่ำกว่าอัตราขั้นต่ำ,อยู่ระหว่างดำเนินการ,,
1/23/2024,COM-2024-027,บ้านสร้าง,สวัสดิการ,ไม่ได้รับยูนิฟอร์มตามสิทธิ,เสร็จสิ้น,1/29/2024,6
1/24/2024,COM-2024-028,บ้านสร้าง,ค่าจ้าง,ไม่ได้รับค่าจ้างในวันหยุดนักขัตฤกษ์,เสร็จสิ้น,1/25/2024,1
1/25/2024,COM-2024-029,ศรีมหาโพธิ,การเลิกจ้าง,เลิกจ้างไม่จ่ายค่าชดเชย,เสร็จสิ้น,3/2/2024,37
1/26/2024,COM-2024-030,เมืองปราจีนบุรี,ความปลอดภัย,ไม่มีอุปกรณ์ป้องกันส่วนบุคคลเพียงพอ,รอเอกสาร,,
1/28/2024,COM-2024-031,กบินทร์บุรี,สวัสดิการ,หอพักแรงงานสภาพไม่เหมาะสม,รอเอกสาร,,
1/29/2024,COM-2024-032,ศรีมหาโพธิ,เวลาทำงาน,ตัดชั่วโมงทำงานโดยไม่มีเหตุผล,เสร็จสิ้น,2/12/2024,14
1/30/2024,COM-2024-033,กบินทร์บุรี,การเลิกจ้าง,ย้ายตำแหน่งก่อนเลิกจ้างอย่างไม่เป็นธรรม,รอเอกสาร,,
2/1/2024,COM-2024-034,นาดี,ความปลอดภัย,ไม่มีการฝึกซ้อมหนีไฟ,อยู่ระหว่างดำเนินการ,,
2/2/2024,COM-2024-035,เมืองปราจีนบุรี,การเลิกจ้าง,เลิกจ้างโดยไม่บอกกล่าวล่วงหน้า,เสร็จสิ้น,2/17/2024,15
2/3/2024,COM-2024-036,ศรีมหาโพธิ,ความปลอดภัย,เครื่องจักรขาดการบำรุงรักษา,เสร็จสิ้น,2/10/2024,7
2/4/2024,COM-2024-037,กบินทร์บุรี,ค่าจ้าง,ได้รับค่าจ้างล่าช้าเกินกำหนด,อยู่ระหว่างดำเนินการ,,
2/5/2024,COM-2024-038,บ้านสร้าง,สวัสดิการ,เงินช่วยเหลือกรณีเจ็บป่วยล่าช้า,อยู่ระหว่างดำเนินการ,,
2/6/2024,COM-2024-039,บ้านสร้าง,สวัสดิการ,ค่าเดินทางไม่ได้รับตามสัญญา,เสร็จสิ้น,2/22/2024,16
2/7/2024,COM-2024-040,นาดี,สวัสดิการ,ไม่ได้รับสวัสดิการประกันสังคม,เสร็จสิ้น,2/21/2024,14
2/8/2024,COM-2024-041,นาดี,ความปลอดภัย,ไม่มีการฝึกซ้อมหนีไฟ,อยู่ระหว่างดำเนินการ,,
2/9/2024,COM-2024-042,เมืองปราจีนบุรี,ค่าจ้าง,หักค่าจ้างโดยไม่มีเหตุผล,อยู่ระหว่างดำเนินการ,,
2/10/2024,COM-2024-043,กบินทร์บุรี,สวัสดิการ,ไม่ได้รับยูนิฟอร์มตามสิทธิ,เสร็จสิ้น,2/19/2024,9
2/11/2024,COM-2024-044,กบินทร์บุรี,การเลิกจ้าง,ย้ายตำแหน่งก่อนเลิกจ้างอย่างไม่เป็นธรรม,เสร็จสิ้น,2/16/2024,5
2/12/2024,COM-2024-045,บ้านสร้าง,ค่าจ้าง,ได้รับค่าจ้างล่าช้าเกินกำหนด,อยู่ระหว่างดำเนินการ,,
2/13/2024,COM-2024-046,เมืองปราจีนบุรี,ค่าจ้าง,ค่าล่วงเวลาไม่ได้รับตามจริง,เสร็จสิ้น,2/29/2024,16
2/14/2024,COM-2024-047,กบินทร์บุรี,ความปลอดภัย,ไม่มีอุปกรณ์ป้องกันส่วนบุคคลเพียงพอ,เสร็จสิ้น,2/15/2024,1
2/15/2024,COM-2024-048,ศรีมหาโพธิ,ความปลอดภัย,พื้นที่ทำงานมีสารเคมีรั่วไหล,เสร็จสิ้น,3/22/2024,36
2/18/2024,COM-2024-049,บ้านสร้าง,เวลาทำงาน,ชั่วโมงทำงานไม่แน่นอนและเปลี่ยนบ่อย,รอเอกสาร,,
2/20/2024,COM-2024-050,เมืองปราจีนบุรี,เวลาทำงาน,ไม่จัดตารางพักตามกฎหมาย,เสร็จสิ้น,3/1/2024,10
``,,,,,,,
